Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2014","2014","kg/ha","1917.2","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2015","2015","kg/ha","1974.3","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2016","2016","kg/ha","2610","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2017","2017","kg/ha","1917.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2018","2018","kg/ha","1691.7","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2019","2019","kg/ha","1468.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2020","2020","kg/ha","2524.9","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2021","2021","kg/ha","2847","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2022","2022","kg/ha","3187.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2023","2023","kg/ha","2667.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2024","2024","kg/ha","2611.8","A","Official value",""
